W,PoS,Comp,V=>A,A=>V,Rel,Self,Person,Stative,Objective,Antinomy
面白い,A1,1,0,0,1,1,1,1,1,1
うるさい,A1,0,0,0,1,1,1,1,1,0
誇らしい,A2,1,1,,1,1,1,1,1,0
懐かしい,A2,1,1,0,1,1,1,1,1,
つまらない,A1,1,0,0,1,1,1,1,0,1
楽しい,A2,0,0,1,1,1,1,1,0,1
忙しい,A2,0,0,0,1,1,1,1,0,0
ケバケバしい,A2,1,0,0,1,1,1,0,0,0
憎い,A1,0,0,,1,1,1,0,0,
気持ち良い,A1,1,0,0,1,1,0,1,1,1
気持ち悪い,A1,1,0,0,1,1,0,1,1,1
暖かい,A1,0,0,0,1,1,0,1,1,1
どうでも良い,A1,1,0,0,1,1,0,1,1,0
もどかしい(<もどく),A2,1,1,0,1,1,0,1,0,0
寒い,A1,0,0,0,1,1,0,0,1,1
面倒臭い,A1,1,0,0,1,1,0,1,1,0
辛い(つらい),A1,0,0,0,1,1,0,1,0,1
嬉しい,A2,0,0,0,1,1,0,1,0,1
恥ずかしい,A2,1,1,0,1,1,0,1,0,0
心細い,A1,1,0,,1,1,0,1,0,1
暑い,A1,0,0,0,1,1,0,1,0,1
悲しい,A2,0,0,1,1,1,0,1,0,1
さびしい,A2,0,0,0,1,1,0,1,0,0
さみしい,A2,0,0,,1,1,0,1,0,0
おいしい,A2,0,0,0,1,1,0,0,1,1
苦しい,A2,0,0,0,1,1,0,0,1,1
痛い,A1,0,0,1,1,1,0,0,1,0
痒い,A1,0,0,0,1,1,0,0,1,0
まぶしい,A2,0,0,0,1,1,0,0,1,0
うらめしい(<うらむ),A2,1,1,0,1,1,0,0,0,
うらやましい(<うらやむ),A2,1,1,0,1,1,0,0,0,
良い,A1,0,0,0,1,0,0,1,1,1
ありがたい,A1,1,0,0,1,0,0,1,0,0
快(こころよ)い,A1,1,0,0,1,0,0,1,0,0
心地良い,A1,1,0,0,1,0,0,1,1,0
遅い,A1,0,0,0,1,0,1,1,1,1
熱い,A1,0,0,0,1,0,1,1,1,1
騒がしい(<騒ぐ),A2,1,1,0,1,0,1,1,1,1
正しい,A1,0,0,0,1,0,1,1,1,0
やかましい(<?やかむ),A2,1,1,0,1,0,1,1,0,0
清々(すがすが)しい,A2,1,0,,1,0,1,1,0,
厳しい,A2,0,0,0,1,0,1,1,0,1
うるわしい(<?うるう),A2,1,1,0,1,0,1,0,0,0
重々しい,A2,,0,,1,0,1,0,0,
すばしっこい,A1,1,1,,1,0,1,0,1,1
美しい,A2,,0,0,1,0,1,0,1,1
おとなしい,A2,1,0,0,1,0,1,0,1,1
かわいい,A1,0,0,0,1,0,1,0,1,0
強い,A1,0,0,1,1,0,1,0,0,1
醜い(見難い),A1,0,0,0,1,0,1,0,0,1
優しい,A2,1,0,0,1,0,1,0,0,0
たくましい,A2,?,0,,1,0,1,0,0,
